state,select,from,*,where,=,create,table,insert,into,values,(,),delete,update,var,n,$,E',E,TABLE,VAR,DIG
0,s2, , , , ,s3, ,s4, , , , ,s5,s6, , , , ,1, , , 
1, , , , , , , , , , , , , , , , ,acc, , , , , 
2, ,s7, , , , , , , , , , , , , , , , , , , , 
3, , , , , , ,s8, , , , , , , , , , , , , , , 
4, , , , , , , , ,s9, , , , , , , , , , , , , 
5, ,s10, , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , ,s12, , , , ,11, , 
7, , ,s13, , , , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , ,s12, , , , ,14, , 
9, , , , , , , , , , , , , , ,s12, , , , ,15, , 
10, , , , , , , , , , , , , , ,s12, , , , ,16, , 
11, , , ,s17, , , , , , , , , , , , , , , , , , 
12, , , ,r6, , , , , ,r6, , , , , , ,r6, , , , , 
13, , , , , , , , , , , , , , ,s12, , , , ,18, , 
14, , , , , , , , , , , , , , , , ,r2, , , , , 
15, , , , , , , , , ,s19, , , , , , , , , , , , 
16, , , ,s20, , , , , , , , , , , , , , , , , , 
17, , , , , , , , , , , , , , ,s22, , , , , ,21, 
18, , , ,s23, , , , , , , , , , , , , , , , , , 
19, , , , , , , , , , ,s24, , , , , , , , , , , 
20, , , , , , , , , , , , , , ,s22, , , , , ,25, 
21, , , , ,s26, , , , , , , , , , , , , , , , , 
22, , , , ,r7, , , , , , ,r7, , , , , , , , , , 
23, , , , , , , , , , , , , , ,s22, , , , , ,27, 
24, , , , , , , , , , , , , , ,s22, , , , , ,28, 
25, , , , ,s29, , , , , , , , , , , , , , , , , 
26, , , , , , , , , , , , , , , ,s31, , , , , ,30
27, , , , ,s32, , , , , , , , , , , , , , , , , 
28, , , , , , , , , , , ,s33, , , , , , , , , , 
29, , , , , , , , , , , , , , , ,s31, , , , , ,34
30, , , , , , , , , , , , , , , , ,r5, , , , , 
31, , , , , , , , , , , , , , , , ,r8, , , , , 
32, , , , , , , , , , , , , , , ,s31, , , , , ,35
33, , , , , , , , , , , , , , , , ,r3, , , , , 
34, , , , , , , , , , , , , , , , ,r4, , , , , 
35, , , , , , , , , , , , , , , , ,r1, , , , , 
